,Custkey,Recency,Frequency,Monetary,Recency_pt_mm,Frequency_pt_mm,Monetary_pt_mm,Cluster,R,F,M,RFM_score,RFM_class
223,10016588,0.011494252873563218,691,1180754.47,0.37624223513362387,0.8280510090978979,0.7717165052844754,1,2,5,5,12,platinum
224,10016609,0.0032679738562091504,1,1426.57,0.09287863667894553,0.0,0.15721346635043687,2,1,1,1,3,family
225,10016780,0.004830917874396135,9,45424.41,0.18581402981057416,0.2811773978198188,0.46047915035561277,2,1,2,3,6,family
226,10016784,0.3333333333333333,14,7257.39,0.9463178525890044,0.3373616637600171,0.29640549801511185,0,5,3,2,10,gold
227,10016807,0.009708737864077669,65,59218.78,0.3407717781109548,0.5316743787646053,0.48485016957407845,1,2,4,4,10,gold
228,10016858,0.012048192771084338,72,281326.86,0.3859972714509343,0.5445681400618142,0.6314643773259923,1,3,4,5,12,platinum
229,10017036,0.015151515151515152,74,217477.42,0.43267694706352855,0.5480211124013578,0.6068372131439587,1,3,4,5,12,platinum
230,10017072,0.1111111111111111,32,29861.45,0.7862500675698296,0.44216453565255975,0.42226644887460707,0,4,3,3,10,gold
231,10017290,0.5,13,51331.420000000006,1.0,0.32794626195388693,0.47169365299076543,0,5,2,4,11,platinum
232,10017307,0.004672897196261682,2,1192.78,0.17808402286807157,0.08902158843220692,0.14225121448270972,2,1,1,1,3,family
233,10017314,0.0625,7,6364.53,0.6931191239500518,0.24916665658128767,0.28495528205556875,3,4,2,2,8,silver
234,10017553,0.02631578947368421,24,57546.93,0.539721163217647,0.40574050839049625,0.48221031451368007,1,3,3,4,10,gold
235,10017576,0.08333333333333333,115,116900.19,0.7405311066727202,0.6035193310885615,0.5481151737450752,0,4,5,4,13,diamond
236,10017585,0.002288329519450801,7,2299.76,0.004055040853004399,0.24916665658128767,0.1974711560615052,2,1,2,1,4,family
237,10017638,0.5,782,874658.3099999999,1.0,0.8434705793699566,0.7419461255717775,0,5,5,5,15,diamond
238,10017828,0.012048192771084338,180,2179662.75,0.3859972714509343,0.6597985515837331,0.8332525075842312,1,3,5,5,13,diamond
239,10017852,0.015384615384615385,10,17991.93,0.4357387879214764,0.2945860424082739,0.3766599050567399,3,3,2,3,8,silver
240,10018129,0.07692307692307693,8,4940.19,0.7275121545254131,0.2661797888452259,0.2629682908255515,3,4,2,2,8,silver
241,10018146,0.008620689655172414,3,16442.52,0.31534024742786293,0.14095891508431174,0.368615680579495,2,2,1,3,6,family
242,10018352,0.08333333333333333,14,10373.15,0.7405311066727202,0.3373616637600171,0.32775691859168776,3,4,3,2,9,gold
243,10018363,0.25,165,314392.51,0.906526372288319,0.6488779580069984,0.6421460243322669,0,5,5,5,15,diamond
244,10018371,0.009708737864077669,60,401160.27,0.3407717781109548,0.5215794012095482,0.6656801348779731,1,2,4,5,11,platinum
245,10018518,0.0022675736961451248,2,1588.92,0.0017309863172371154,0.08902158843220692,0.16625669065393653,2,1,1,1,3,family
246,10018580,0.004132231404958678,8,7872.57,0.14922008776903395,0.2661797888452259,0.3035215157703485,2,1,2,2,5,family
247,10018603,0.008695652173913044,81,150358.38,0.31720565503109655,0.5594086032570499,0.5718118357380572,1,2,4,4,10,gold
248,10018623,0.014925373134328358,1,857.91,0.42965536918329567,0.0,0.1148827944554105,3,3,1,1,5,family
249,10018628,0.015151515151515152,49,57216.299999999996,0.43267694706352855,0.4960197565191935,0.48167940932720155,1,3,4,4,11,platinum
250,10018644,0.01098901098901099,104,89257.79000000001,0.36687144287678747,0.5908730958495447,0.5228851247085782,1,2,5,4,11,platinum
251,10018665,0.0625,184,196192.65,0.6931191239500518,0.6625563519711837,0.5970291494519842,0,4,5,5,14,diamond
252,10018867,0.010309278350515464,7,3913.49,0.3534687835925702,0.24916665658128767,0.24287461357908774,3,2,2,2,6,family
253,10018868,0.07692307692307693,31,83269.54,0.7275121545254131,0.43814723227331054,0.5164190564000881,0,4,3,4,11,platinum
254,10018871,0.043478260869565216,143,889405.04,0.6307974084369571,0.6309077978956666,0.7435988165321152,0,4,5,5,14,diamond
255,10018877,0.003215434083601286,2,1785.53,0.08892491640155553,0.08902158843220692,0.17607320130400328,2,1,1,1,3,family
256,10018885,0.3333333333333333,13,57841.21000000001,0.9463178525890044,0.32794626195388693,0.48268035737396753,0,5,2,4,11,platinum
257,10019066,0.3333333333333333,541,469865.6,0.9463178525890044,0.7975225988107173,0.6810243651405276,0,5,5,5,15,diamond
258,10019105,0.002288329519450801,1,705.08,0.004055040853004399,0.0,0.09869927606712314,2,1,1,1,3,family
259,10019109,0.01098901098901099,5,4372.65,0.36687144287678747,0.20624865979268214,0.2524279771455169,3,2,2,2,6,family
260,10019150,0.25,86,50138.65,0.906526372288319,0.5669524540942619,0.46953422310509185,0,5,4,4,13,diamond
261,10019194,0.0022935779816513763,140,181413.96,0.004638957417609391,0.6282442416916232,0.5895888535975514,1,1,5,5,11,platinum
262,10019388,0.16666666666666666,12,5145.32,0.8479288988123537,0.31777309505070467,0.26648957105968046,3,5,2,2,9,gold
263,10019400,0.25,1,787.31,0.906526372288319,0.0,0.10778874964557533,3,5,1,1,7,silver
264,10019410,0.1111111111111111,59,188481.34,0.7862500675698296,0.519459197155607,0.5932177989461642,0,4,4,5,13,diamond
265,10019420,0.16666666666666666,7,11176.08,0.8479288988123537,0.24916665658128767,0.3343370152044716,3,5,2,2,9,gold
266,10019469,0.012658227848101266,1,291.73,0.39617201507679545,0.0,0.026904822875394807,3,3,1,1,5,family
267,10019617,0.05,6,8324.8,0.6551377619305773,0.22951288879503925,0.3084151017475468,3,4,2,2,8,silver
268,10019664,0.004081632653061225,6,2332.7,0.1463031838252698,0.22951288879503925,0.19867769035152577,2,1,2,1,4,family
269,10019665,0.012048192771084338,49,28604.66,0.3859972714509343,0.4960197565191935,0.41837272295190614,1,3,4,3,10,gold
270,10019678,0.3333333333333333,13,13257.74,0.9463178525890044,0.32794626195388693,0.34945968430933144,0,5,2,2,9,gold
271,10019682,0.0625,12,28137.870000000003,0.6931191239500518,0.31777309505070467,0.41688394297193593,0,4,2,3,9,gold
272,10019812,0.002288329519450801,1,221.04,0.004055040853004399,0.0,0.004664704713153833,2,1,1,1,3,family
273,10019880,0.004608294930875576,2,723.84,0.1748386131127918,0.08902158843220692,0.10086065527358368,2,1,1,1,3,family
274,10019897,0.010309278350515464,64,40271.03,0.3534687835925702,0.5297192949305867,0.4494675003019432,1,2,4,3,9,gold
275,10019900,0.09090909090909091,33,60242.7,0.7545348962856855,0.44605762642005914,0.48643131888535845,0,4,4,4,12,platinum
276,10019909,0.05,27,17702.72,0.6551377619305773,0.4206593375672106,0.3752109674739629,0,4,3,3,10,gold
277,10019913,0.022222222222222223,6,5278.719999999999,0.5077276948274572,0.22951288879503925,0.26870686378400227,3,3,2,2,7,silver
278,10019942,0.25,204,304222.37,0.906526372288319,0.6754994966932832,0.6389820069715529,0,5,5,5,15,diamond
279,10020080,0.0022727272727272726,1,354.88,0.002310268094488477,0.0,0.042705977666513906,2,1,1,1,3,family
280,10020181,0.008928571428571428,442,1162716.1199999999,0.3228881719538712,0.7722828283242535,0.7701835885905257,1,2,5,5,12,platinum
281,10020184,0.012048192771084338,212,2629591.08,0.3859972714509343,0.6803229623522291,0.8522848648502745,1,3,5,5,13,diamond
282,10020192,0.058823529411764705,455,421493.14999999997,0.6829059361293079,0.7759043443456448,0.670472456510265,0,4,5,5,14,diamond
283,10020193,0.2,9,47498.14,0.8746497341094956,0.2811773978198188,0.464570047602309,0,5,2,3,10,gold
284,10020227,0.012195121951219513,1,346.16,0.3885001161302363,0.0,0.04069539236985148,3,3,1,1,5,family
285,10020256,0.043478260869565216,4,1060.2,0.6307974084369571,0.17774785815218136,0.1324388877309492,3,4,1,1,6,family
286,10020266,0.002288329519450801,4,3434.72,0.004055040853004399,0.17774785815218136,0.23167218903582382,2,1,1,1,3,family
287,10020281,0.043478260869565216,5,3455.49,0.6307974084369571,0.20624865979268214,0.23218891578577683,3,4,2,1,7,silver
288,10020306,0.25,1,228.02,0.906526372288319,0.0,0.007148617995035522,3,5,1,1,7,silver
289,10020364,0.05263157894736842,5,12315.31,0.6639634759589181,0.20624865979268214,0.34292294567461384,3,4,2,2,8,silver
290,10020388,0.03225806451612903,4,1626.37,0.5773507216224064,0.17774785815218136,0.16821459763426702,3,4,1,1,6,family
291,10020390,0.2,4,8299.23,0.8746497341094956,0.17774785815218136,0.30814539676137453,3,5,1,2,8,silver
292,10020413,0.0035714285714285713,2,2616.31,0.1143961842636913,0.08902158843220692,0.20842803966155807,2,1,1,1,3,family
293,10020445,0.16666666666666666,32,21562.95,0.8479288988123537,0.44216453565255975,0.39288952873941385,0,5,3,3,11,platinum
294,10020446,0.011904761904761904,11,20953.26,0.3835206328390614,0.30670980390389146,0.3903134026902699,1,2,2,3,7,silver
295,10020448,0.003875968992248062,4,3086.3,0.13401311424523865,0.17774785815218136,0.22251787175107743,2,1,1,1,3,family
296,10020449,0.05,60,145416.83000000002,0.6551377619305773,0.5215794012095482,0.5686568873928469,0,4,4,4,12,platinum
297,10020491,0.022727272727272728,11,4551.26,0.5120196227559333,0.30670980390389146,0.25588220615641166,3,3,2,2,7,silver
298,10020492,0.07692307692307693,19,18711.01,0.7275121545254131,0.37612506331196915,0.38016638482905757,0,4,3,3,10,gold
299,10020515,0.002288329519450801,2,651.16,0.004055040853004399,0.08902158843220692,0.09215995806651511,2,1,1,1,3,family
300,10020639,0.16666666666666666,77,66884.14,0.8479288988123537,0.553028605502702,0.49609237674831463,0,5,4,4,13,diamond
301,10020662,0.0625,37,120477.69,0.6931191239500518,0.46052726934559546,0.5509450407399774,0,4,4,4,12,platinum
302,10020663,0.3333333333333333,187,239265.71,0.9463178525890044,0.6645854537597018,0.6159525799110865,0,5,5,5,15,diamond
303,10020672,0.008695652173913044,169,211599.5,0.31720565503109655,0.6518847274456782,0.6042255177266946,1,2,5,5,12,platinum
304,10020684,0.002257336343115124,1,8336.11,0.0005758571089746756,0.0,0.30853413901181603,2,1,1,2,4,family
305,10020715,0.03225806451612903,2,4749.65,0.5773507216224064,0.08902158843220692,0.25956743678136424,3,4,1,2,7,silver
306,10020849,0.05,16,33985.29,0.6551377619305773,0.35431835694665165,0.43400652529445455,0,4,3,3,10,gold
307,10020868,0.017241379310344827,1,289.72,0.4584042823090088,0.0,0.026348760836821417,3,3,1,1,5,family
308,10020907,0.009615384615384616,64,140081.18,0.338718753261802,0.5297192949305867,0.5651308265758,1,2,4,4,10,gold
309,10020909,0.25,12,12070.18,0.906526372288319,0.31777309505070467,0.34114280951919956,0,5,2,2,9,gold
310,10020914,0.012048192771084338,259,210848.63999999998,0.3859972714509343,0.7054178484690414,0.6038868140081493,1,3,5,5,13,diamond
311,10020915,0.038461538461538464,25,37463.6,0.609088582114345,0.4109121250815985,0.442875751677073,0,4,3,3,10,gold
312,10020927,0.03225806451612903,150,569904.61,0.5773507216224064,0.6369105723386711,0.699844437632968,1,4,5,5,14,diamond
313,10020931,0.011494252873563218,16,12287.78,0.37624223513362387,0.35431835694665165,0.34272475183943374,1,2,3,2,7,silver
314,10020962,0.05,45,195493.84,0.6551377619305773,0.4852649727062757,0.5966898287490002,0,4,4,5,13,diamond
315,10021107,0.07692307692307693,3,791.48,0.7275121545254131,0.14095891508431174,0.10822467173406669,3,4,1,1,6,family
316,10021111,0.0196078431372549,1,271.11,0.48359937406833314,0.0,0.021014145962905628,3,3,1,1,5,family
317,10021139,0.1111111111111111,43,53463.07,0.7862500675698296,0.47952162258476694,0.47543386571170376,0,4,4,4,12,platinum
318,10021145,0.02631578947368421,7,10130.52,0.539721163217647,0.24916665658128767,0.3256706523247812,3,3,2,2,7,silver
319,10021158,0.002288329519450801,7,5584.83,0.004055040853004399,0.24916665658128767,0.2735951669695378,2,1,2,2,5,family
320,10021160,0.010526315789473684,367,1090389.31,0.35785382966866774,0.7490397071021178,0.7637951450561193,1,2,5,5,12,platinum
321,10021175,0.010309278350515464,40,42306.65,0.3534687835925702,0.47038263297677774,0.4539727445061189,1,2,4,3,9,gold
322,10021179,0.25,19,12553.39,0.906526372288319,0.37612506331196915,0.34461914135641336,0,5,3,2,10,gold
323,10021184,0.05,4,2673.04,0.6551377619305773,0.17774785815218136,0.21025415635695352,3,4,1,1,6,family
324,10021203,0.25,94,87016.07,0.906526372288319,0.5781509185957847,0.5205154627157933,0,5,5,4,14,diamond
